datetime,open,high,low,close,volume,average,barCount,symbol,interval
2023-07-31 00:00:00+00:00,323.69,325.66,317.59,318.6,16384103.0,321.406,81709,META,1d
2023-08-01 00:00:00+00:00,317.58,324.14,314.66,322.71,15448007.0,320.821,79071,META,1d
2023-08-02 00:00:00+00:00,318.0,318.39,310.65,314.31,13123644.0,314.533,68080,META,1d
2023-08-03 00:00:00+00:00,310.29,315.95,309.93,313.19,10163989.0,313.865,55372,META,1d
2023-08-04 00:00:00+00:00,314.96,318.41,310.2,310.73,10743371.0,313.719,55334,META,1d
2023-08-07 00:00:00+00:00,313.23,317.07,310.46,316.56,10666697.0,314.049,57541,META,1d
2023-08-08 00:00:00+00:00,314.43,317.89,310.11,312.64,10112537.0,312.895,54578,META,1d
2023-08-09 00:00:00+00:00,312.88,313.63,302.85,305.21,12595921.0,307.08,64220,META,1d
2023-08-10 00:00:00+00:00,307.94,312.34,303.87,305.74,9804678.0,308.07,49072,META,1d
2023-08-11 00:00:00+00:00,302.6,304.72,300.36,301.64,9363534.0,302.172,49104,META,1d
2023-08-14 00:00:00+00:00,301.26,306.21,298.25,306.19,9247040.0,302.545,44016,META,1d
2023-08-15 00:00:00+00:00,306.14,307.23,300.03,301.95,6680245.0,302.882,34732,META,1d
2023-08-16 00:00:00+00:00,300.32,301.08,294.28,294.29,11277576.0,297.671,57159,META,1d
2023-08-17 00:00:00+00:00,293.18,296.05,284.95,285.09,14835578.0,290.262,78061,META,1d
2023-08-18 00:00:00+00:00,279.16,285.69,274.38,283.25,20721133.0,279.43,107586,META,1d
2023-08-21 00:00:00+00:00,283.45,290.5,281.85,289.9,11340565.0,287.52,54210,META,1d
2023-08-22 00:00:00+00:00,292.68,292.9,286.75,287.6,7611418.0,289.566,40190,META,1d
2023-08-23 00:00:00+00:00,288.49,297.4,287.67,294.24,9744307.0,294.479,55003,META,1d
2023-08-24 00:00:00+00:00,298.5,299.46,286.64,286.75,9856440.0,291.524,55218,META,1d
2023-08-25 00:00:00+00:00,286.13,288.39,276.03,285.5,15358766.0,282.007,84957,META,1d
2023-08-28 00:00:00+00:00,288.0,291.45,285.8,290.26,8656676.0,288.759,45036,META,1d
2023-08-29 00:00:00+00:00,288.66,299.15,288.18,297.99,13431004.0,294.672,70439,META,1d
2023-08-30 00:00:00+00:00,297.17,298.29,293.43,295.1,10603984.0,295.897,55019,META,1d
